# Induced dipole moment in x, y and z direction, all in Rydberg units
# 1 Ry time unit = 2 Hartree a.u. = 0.048377687 fs
# 1 Ry dipole moment unit = sqrt(2) Hartree a.u.
#!BT VERSION                     v3.6.0_alpha                                                
#!BT DATE                        21-JUN-2024_12:44:33_+0200                                  
#!BT SYSID                       "Na4_dx0.7"                                                 
#!BT NATOMS                      4                                                           
#!BT NTYPES                      1                                                           
#!BT ATOMSPERTYPE                4                                                           
#!BT NELEC                       2.000000E+00,2.000000E+00                                   
#!BT DX                   a0     7.000000E-01                                                
#!BT T_START              t_ry   0.000000E+00                                                
#!BT DT                   t_ry   2.067069E-01                                                
#!BT BOOSTMASK                   no                                                          
#!BT BOOSTENERGY          Ry     0.000000E+00                                                
#!BT BOOSTKVEC                   0.000000E+00,0.000000E+00,0.000000E+00                      
#!BT EXCITATION                  laser_mono                                                  
#!BT EXCITMASK                   global                                                      
#!BT NLASER                      1                                                           
#!BT LASERFREQ            Ry     2.000018E-01                                                
#!BT LASERINT             W/cm^2 1.000000E+07                                                
#!BT LASEREFIELD          E_ry   2.387186E-05                                                
#!BT LASERPOLX                   5.773503E-01                                                
#!BT LASERPOLY                   5.773503E-01                                                
#!BT LASERPOLZ                   5.773503E-01                                                
#!BT LASERSTART           t_ry   0.000000E+00                                                
#!BT LASEREND             t_ry   6.201206E+01                                                
#!BT OBSERVABLE                  dipole                                                      
#!BT STRIDE                      1                                                           
#!BT MASK                        global1                                                     
#!BT NAREAS                      1                                                           
#!BT AREA                        1                                                           
#!BT SPIN                        tot                                                         
#!BT AREA_NAME                   global                                                      
#!BT DIP0                 dip_ry 2.618125E-07,-3.418858E-08,-2.717010E-08                    
#time                 |           x          |           y          |           z          |
 1.881032486813542E+01 -3.449849137712673E-03 -5.180300597883171E-03 -9.491440251752194E-03
 1.901703173481823E+01 -3.264380646390842E-03 -5.029587710652648E-03 -9.504695152229212E-03
 1.922373860150104E+01 -3.067279735344852E-03 -4.864886285606373E-03 -9.504735400197582E-03
 1.943044546818384E+01 -2.858792671709263E-03 -4.686242505954599E-03 -9.491281273077324E-03
 1.963715233486665E+01 -2.639174735244025E-03 -4.493717197602350E-03 -9.464086465329112E-03
 1.984385920154946E+01 -2.408788903606071E-03 -4.287486928484076E-03 -9.422957613497785E-03
 2.005056606823226E+01 -2.167946440951518E-03 -4.067665828150840E-03 -9.367667162339695E-03
 2.025727293491507E+01 -1.917038389933636E-03 -3.834461506227430E-03 -9.298057108175708E-03
 2.046397980159788E+01 -1.656493505094941E-03 -3.588120627443379E-03 -9.213981606947587E-03
 2.067068666828068E+01 -1.386715087735369E-03 -3.328863134844381E-03 -9.115297122761028E-03
 2.087739353496349E+01 -1.108210108139545E-03 -3.057028496477701E-03 -9.001928776883059E-03
 2.108410040164630E+01 -8.214514750108242E-04 -2.772917085821439E-03 -8.873781290144529E-03
 2.129080726832910E+01 -5.269569840860169E-04 -2.476885567848471E-03 -8.730807303882537E-03
 2.149751413501191E+01 -2.253023181282336E-04 -2.169359177874060E-03 -8.572996052434540E-03
 2.170422100169472E+01  8.298235987048791E-05 -1.850708819745841E-03 -8.400282524400735E-03
 2.191092786837752E+01  3.972722316312732E-04 -1.521437203291849E-03 -8.212801725955791E-03
 2.211763473506033E+01  7.169616046614346E-04 -1.181998517220164E-03 -8.010440000493156E-03
 2.232434160174314E+01  1.041432551458884E-03 -8.329005452877785E-04 -7.793376386128314E-03
 2.253104846842594E+01  1.369999671023106E-03 -4.747251779951196E-04 -7.561747678348953E-03
 2.273775533510875E+01  1.702024933022568E-03 -1.080113976247229E-04 -7.315720497828626E-03
 2.294446220179156E+01  2.036808546924179E-03  2.666297147064309E-04 -7.055450918329243E-03
 2.315116906847436E+01  2.373640008613864E-03  6.485688326064545E-04 -6.781075103224518E-03
 2.335787593515717E+01  2.711834438184898E-03  1.037191520622721E-03 -6.492789316266190E-03
 2.356458280183998E+01  3.050636819327387E-03  1.431789622256338E-03 -6.190852891895774E-03
 2.377128966852279E+01  3.389335389253167E-03  1.831695937291211E-03 -5.875504257842440E-03
 2.397799653520559E+01  3.727189102115257E-03  2.236196350982881E-03 -5.547042322428578E-03
 2.418470340188840E+01  4.063426754391529E-03  2.644540869880218E-03 -5.205652773754259E-03
 2.439141026857121E+01  4.397330843517547E-03  3.056006264963063E-03 -4.851785857994669E-03
 2.459811713525401E+01  4.728127334487696E-03  3.469789118076804E-03 -4.485953553311222E-03
 2.480482400193682E+01  5.055065712303927E-03  3.885123150509897E-03 -4.108394665409237E-03
 2.501153086861963E+01  5.377402308436774E-03  4.301226046553776E-03 -3.719518065272577E-03
 2.521823773530243E+01  5.694354755637503E-03  4.717261839087772E-03 -3.319637151904242E-03
 2.542494460198524E+01  6.005207212149542E-03  5.132440696094575E-03 -2.909311685355988E-03
 2.563165146866805E+01  6.309208560732644E-03  5.545916513509691E-03 -2.489160366229613E-03
 2.583835833535085E+01  6.605615478881053E-03  5.956852414759477E-03 -2.059541747166440E-03
 2.604506520203366E+01  6.893719656055723E-03  6.364432273769916E-03 -1.620961554517768E-03
 2.625177206871647E+01  7.172774663959279E-03  6.767780237306976E-03 -1.173848403107974E-03
 2.645847893539927E+01  7.442109393235750E-03  7.166075464406678E-03 -7.189782642235125E-04
 2.666518580208208E+01  7.701023157974556E-03  7.558467161838875E-03 -2.568074615810342E-04
 2.687189266876489E+01  7.948830195407678E-03  7.944092673529796E-03  2.120742891220558E-04
 2.707859953544769E+01  8.184889390360415E-03  8.322135798272548E-03  6.871931792900619E-04
 2.728530640213050E+01  8.408545403403609E-03  8.691733586029794E-03  1.167798900288294E-03
 2.749201326881331E+01  8.619195648884543E-03  9.052070839577094E-03  1.653167192393177E-03
 2.769872013549611E+01  8.816239940763767E-03  9.402328481894857E-03  2.142762882042413E-03
 2.790542700217892E+01  8.999084786479419E-03  9.741666163370707E-03  2.635919268996798E-03
 2.811213386886173E+01  9.167198582618111E-03  1.006930796672591E-02  3.131983184649299E-03
 2.831884073554454E+01  9.320037538865161E-03  1.038444459935505E-02  3.630262989507477E-03
 2.852554760222734E+01  9.457102645166530E-03  1.068629810036930E-02  4.130075902811755E-03
 2.873225446891015E+01  9.577929783758423E-03  1.097412545919460E-02  4.630733972043452E-03
 2.893896133559296E+01  9.682053813673357E-03  1.124715029435723E-02  5.131604107180222E-03
 2.914566820227576E+01  9.769078189849411E-03  1.150467597901633E-02  5.631907080448834E-03
 2.935237506895857E+01  9.838609483120085E-03  1.174599265947090E-02  6.130920413301592E-03
 2.955908193564138E+01  9.890288190301298E-03  1.197041086242453E-02  6.627850337171844E-03
 2.976578880232418E+01  9.923809690230432E-03  1.217729295580490E-02  7.122064012669388E-03
 2.997249566900699E+01  9.938869527682801E-03  1.236598189369631E-02  7.612821996046450E-03
 3.017920253568980E+01  9.935228721145521E-03  1.253588575781759E-02  8.099415002030789E-03
 3.038590940237260E+01  9.912669480732420E-03  1.268643286981087E-02  8.581125955195648E-03
 3.059261626905541E+01  9.871007623786348E-03  1.281705547062169E-02  9.057289957825928E-03
 3.079932313573822E+01  9.810103645447663E-03  1.292726476685791E-02  9.527070256013544E-03
 3.100603000242102E+01  9.729841730357595E-03  1.301655853870260E-02  9.989803332707095E-03
 3.121273686910383E+01  9.630161325718043E-03  1.308448854575709E-02  1.044478959672123E-02
 3.141944373578664E+01  9.511035231566314E-03  1.313065166406663E-02  1.089134060943789E-02
 3.162615060246944E+01  9.372458574688566E-03  1.315464526184547E-02  1.132874502448014E-02
 3.183285746915225E+01  9.214500857714523E-03  1.315614561344351E-02  1.175641808410086E-02
 3.203956433583506E+01  9.037224736169242E-03  1.313483774201532E-02  1.217351409210804E-02
 3.224627120251787E+01  8.840764344477274E-03  1.309044713920408E-02  1.257944843675407E-02
 3.245297806920068E+01  8.625293959057551E-03  1.302276326742995E-02  1.297358524826204E-02
 3.265968493588348E+01  8.391002670607911E-03  1.293157646623823E-02  1.335527092178932E-02
 3.286639180256628E+01  8.138148690346262E-03  1.281674586537073E-02  1.372398661764512E-02
 3.307309866924909E+01  7.867013914624179E-03  1.267818161666429E-02  1.407893137776798E-02
 3.327980553593190E+01  7.577914177920892E-03  1.251579765115387E-02  1.441960585903897E-02
 3.348651240261471E+01  7.271227088420012E-03  1.232959507511255E-02  1.474544723496061E-02
 3.369321926929751E+01  6.947338550311434E-03  1.211957991192129E-02  1.505588186717888E-02
 3.389992613598032E+01  6.606685418695420E-03  1.188580010241814E-02  1.535047047868831E-02
 3.410663300266312E+01  6.249766774842707E-03  1.162841162886275E-02  1.562855120862991E-02
 3.431333986934593E+01  5.877084052967234E-03  1.134754538220866E-02  1.588964871821364E-02
 3.452004673602874E+01  5.489203005727407E-03  1.104341260520984E-02  1.613332687769981E-02
 3.472675360271155E+01  5.086695247547415E-03  1.071624303894123E-02  1.635912327146329E-02
 3.493346046939435E+01  4.670191603968018E-03  1.036632363829459E-02  1.656660851161729E-02
 3.514016733607716E+01  4.240357158949863E-03  9.994002251405594E-03  1.675538017623307E-02
 3.534687420275997E+01  3.797867032500969E-03  9.599633030335135E-03  1.692505447145399E-02
 3.555358106944277E+01  3.343465771503324E-03  9.183656751805918E-03  1.707527462651041E-02
 3.576028793612558E+01  2.877889705834705E-03  8.746516736765369E-03  1.720571473487401E-02
 3.596699480280839E+01  2.401941399361205E-03  8.288745257889399E-03  1.731606459981769E-02
 3.617370166949119E+01  1.916442879139697E-03  7.810900315708334E-03  1.740605062849622E-02
 3.638040853617400E+01  1.422218840320165E-03  7.313555924163497E-03  1.747542474795006E-02
 3.658711540285681E+01  9.201327647757699E-04  6.797313883664714E-03  1.752393154527092E-02
 3.679382226953962E+01  4.111204957157057E-04  6.262955698273449E-03  1.755144778982829E-02
 3.700052913622243E+01 -1.039309600613567E-04  5.711135771186983E-03  1.755777784237847E-02
 3.720723600290523E+01 -6.240609668625550E-04  5.142640586725050E-03  1.754278767999429E-02
 3.741394286958803E+01 -1.148325361463461E-03  4.558255290782155E-03  1.750637700859885E-02
 3.762064973627084E+01 -1.675735878073332E-03  3.958821674502615E-03  1.744847264459244E-02
 3.782735660295365E+01 -2.205290019733783E-03  3.345231001519011E-03  1.736903136748996E-02
 3.803406346963646E+01 -2.735991444827917E-03  2.718374525317333E-03  1.726804392780690E-02
 3.824077033631927E+01 -3.266795925793030E-03  2.079222105972286E-03  1.714552776924280E-02
 3.844747720300207E+01 -3.796678961740082E-03  1.428748354621195E-03  1.700153273472206E-02
 3.865418406968487E+01 -4.324594773838013E-03  7.679608944381731E-04  1.683614082918303E-02
 3.886089093636768E+01 -4.849478348588783E-03  9.792599031025090E-05  1.664946060943872E-02
 3.906759780305049E+01 -5.370289179121007E-03 -5.803021202943421E-04  1.644163608553104E-02
 3.927430466973330E+01 -5.885951608412157E-03 -1.265606517154401E-03  1.621283889815573E-02
 3.948101153641610E+01 -6.395409135288347E-03 -1.956856461655917E-03  1.596326871407603E-02
 3.968771840309891E+01 -6.897608599288436E-03 -2.652912907403840E-03  1.569316080393791E-02
 3.989442526978172E+01 -7.391478249757827E-03 -3.352578471848864E-03  1.540277457770626E-02
 4.010113213646452E+01 -7.875982991674966E-03 -4.054672694271325E-03  1.509240175175807E-02
 4.030783900314733E+01 -8.350070745545404E-03 -4.757975515791862E-03  1.476236382863604E-02
 4.051454586983014E+01 -8.812706936666252E-03 -5.461245368476528E-03  1.441300491589425E-02
 4.072125273651294E+01 -9.262882933171469E-03 -6.163253410940720E-03  1.404470553787027E-02
 4.092795960319575E+01 -9.699578050434426E-03 -6.862722177184468E-03  1.365786807044497E-02
